circuit,model,p,regime,method,ideal,mu,sd,ci_lo,ci_hi,err,err_noisy,impr
ghz,depolar,0.007667,low,linear,1.0,1.0010850694444449,0.013011425999827866,0.9945746527777782,1.0079003906250004,0.0010850694444448639,0.02057291666666672,0.9472573839662245
ghz,depolar,0.009,low,richardson,1.0,0.9886718749999996,0.06717992932153051,0.9571614583333331,1.0231901041666662,0.011328125000000355,0.02239583333333328,0.49418604651161085
ghz,depolar,0.009,low,linear,1.0,1.0098090277777783,0.013056519384856892,1.0030381944444449,1.016102430555556,0.009809027777778256,0.02239583333333328,0.5620155038759466
ghz,depolar,0.012,mid,richardson,1.0,0.9999999999999994,0.060427048766725874,0.9690104166666662,1.0293001302083329,5.551115123125783e-16,0.03125,0.9999999999999822
ghz,depolar,0.012,mid,linear,1.0,0.9954861111111115,0.014764856947331217,0.9885416666666669,1.0032562934027782,0.004513888888888484,0.03125,0.8555555555555685
ghz,depolar,0.018,mid,richardson,1.0,1.003385416666666,0.11563746296383322,0.9458333333333324,1.061985677083333,0.00338541666666603,0.04531249999999998,0.9252873563218531
ghz,depolar,0.018,mid,linear,1.0,0.9960069444444447,0.013620867703226973,0.9894531250000005,1.0029513888888892,0.003993055555555292,0.04531249999999998,0.9118773946360211
ghz,depolar,0.024,mid,richardson,1.0,1.0277343749999994,0.1646461592245505,0.9440071614583324,1.1085970052083334,0.027734374999999423,0.060546875,0.5419354838709772
ghz,depolar,0.024,mid,linear,1.0,0.9990451388888891,0.024070196029571594,0.9872384982638892,1.0112434895833335,0.0009548611111108718,0.060546875,0.9842293906810076
ghz,depolar,0.03,mid,richardson,1.0,1.0273437499999998,0.11895156618412525,0.9683496093749996,1.0884309895833333,0.027343749999999778,0.07799479166666667,0.6494156928213718
ghz,depolar,0.03,mid,linear,1.0,1.0003906250000003,0.02883342929596265,0.9859776475694446,1.0141937934027785,0.00039062500000031086,0.07799479166666667,0.994991652754587
ghz,depolar,0.036,mid,richardson,1.0,1.0186197916666662,0.1651961494561513,0.936197916666666,1.1041796875,0.018619791666666163,0.08190104166666667,0.7726550079491318
ghz,depolar,0.036,mid,linear,1.0,0.9868923611111114,0.03980619220530645,0.9677907986111115,1.0071636284722225,0.013107638888888551,0.08190104166666667,0.8399576046634911
ghz,depolar,0.042,mid,richardson,1.0,1.0579427083333328,0.21782223582876314,0.9520735677083325,1.173958333333333,0.057942708333332815,0.1029947916666667,0.4374209860935577
ghz,depolar,0.042,mid,linear,1.0,0.9993055555555558,0.031343417469587465,0.9835481770833334,1.015365668402778,0.0006944444444442199,0.1029947916666667,0.9932574799831458
ghz,depolar,0.048,mid,richardson,1.0,1.1549479166666667,0.18737472305011654,1.0613151041666666,1.2521028645833339,0.15494791666666674,0.11549479166666665,-0.34160090191657355
ghz,depolar,0.048,mid,linear,1.0,1.003125,0.040068216435423736,0.982768012152778,1.0228309461805558,0.0031250000000000444,0.11549479166666665,0.9729425028184889
ghz,depolar,0.06,high,richardson,1.0,0.9072916666666658,0.3064409901724964,0.7541536458333319,1.0589941406249994,0.09270833333333417,0.14557291666666672,0.3631484794275437
ghz,depolar,0.06,high,linear,1.0,0.9483072916666669,0.036218675352637744,0.931031901041667,0.967318793402778,0.05169270833333306,0.14557291666666672,0.6449016100178911
ghz,depolar,0.075,high,richardson,1.0,1.0385416666666665,0.3219908603505793,0.8704264322916659,1.1958496093750004,0.038541666666666474,0.17734375000000002,0.7826725403817926
ghz,depolar,0.075,high,linear,1.0,0.9854600694444449,0.04969608578957488,0.9582389322916671,1.009809027777778,0.014539930555555136,0.17734375000000002,0.9180127263827728
ghz,depolar,0.09,high,richardson,1.0,0.7846354166666659,0.34704817686594047,0.6019498697916652,0.9508268229166662,0.21536458333333408,0.21028645833333337,-0.024148606811148887
ghz,depolar,0.09,high,linear,1.0,0.9621527777777777,0.05405390378252078,0.9324218750000003,0.9893684895833335,0.037847222222222254,0.21028645833333337,0.8200206398348812
ghz,depolar,0.105,high,richardson,1.0,0.8690104166666662,0.37359046800222145,0.6805598958333323,1.0662923177083332,0.13098958333333377,0.2587239583333333,0.49370910920986233
ghz,depolar,0.105,high,linear,1.0,0.9597656250000003,0.057771624376020354,0.9311154513888891,0.9882823350694446,0.04023437499999971,0.2587239583333333,0.8444891796678421
ghz,depolar,0.12,high,richardson,1.0,0.8558593749999995,0.4817823759878536,0.5977864583333318,1.09349609375,0.14414062500000047,0.28007812499999996,0.4853556485355631
ghz,depolar,0.12,high,linear,1.0,0.9233940972222227,0.06977015090371885,0.8867610677083337,0.9574663628472225,0.07660590277777735,0.28007812499999996,0.7264838059817155
ghz,depolar,0.135,high,richardson,1.0,0.8253906249999993,0.512010293857093,0.5730468749999983,1.0845084635416669,0.17460937500000073,0.32734375000000004,0.4665871121718355
ghz,depolar,0.135,high,linear,1.0,0.9074218750000003,0.05669632279028171,0.8800336371527779,0.9359418402777782,0.09257812499999973,0.32734375000000004,0.7171837708830557
ghz,depolar,0.15,high,richardson,1.0,0.7838541666666659,0.5727432265879993,0.48800455729166536,1.069423828125,0.21614583333333415,0.3345052083333333,0.3538341767224576
ghz,depolar,0.15,high,linear,1.0,0.8848958333333333,0.07362710391160907,0.8493891059027778,0.9230479600694445,0.11510416666666667,0.3345052083333333,0.6558972362787077
ghz,combined,0.001,low,richardson,1.0,0.8882812499999996,0.0615991391076377,0.855983072916666,0.9177148437499998,0.11171875000000042,0.1294270833333333,0.13682092555331646
ghz,combined,0.001,low,linear,1.0,0.8824218750000004,0.018903093170791276,0.8729589843750003,0.891840277777778,0.11757812499999964,0.1294270833333333,0.09154929577465043
ghz,combined,0.002333,low,richardson,1.0,0.8710937499999996,0.06372497466326173,0.8423177083333326,0.9054752604166664,0.12890625000000044,0.12382812499999996,-0.04100946372240143
ghz,combined,0.002333,low,linear,1.0,0.8816406250000004,0.030121215076026542,0.8665766059027781,0.8964843750000002,0.1183593749999996,0.12382812499999996,0.04416403785489247
ghz,combined,0.003667,low,richardson,1.0,0.876432291666666,0.07137673570994743,0.8410156249999992,0.9152376302083329,0.12356770833333397,0.12591145833333328,0.01861427094104935
